OMRÅDE;CIVILSTAND;TID;INDHOLD
København;Ugift;2020K3;414218
Aalborg;Ugift;2020K3;118694
Aarhus;Ugift;2020K3;208470
Odense;Ugift;2020K3;112672
Frederiksberg;Ugift;2020K3;60802
